year,category,prize_amount,fullname,gender,birth_continent,birth_country
1971,Physics,450000,Dennis Gabor,male,Europe,Hungary
1971,Physiology or Medicine,450000,"Earl W. Sutherland, Jr.",male,North America,USA
1971,Chemistry,450000,Gerhard Herzberg,male,Europe,Germany
1971,Literature,450000,Pablo Neruda,male,South America,Chile
1971,Economic Sciences,450000,Simon Kuznets,male,Europe,Russian Empire
1971,Peace,450000,Willy Brandt,male,Europe,Germany
1972,Chemistry,480000,Christian B. Anfinsen,male,North America,USA
1972,Physiology or Medicine,480000,Gerald M. Edelman,male,North America,USA
1972,Literature,480000,Heinrich Böll,male,Europe,Germany
1972,Economic Sciences,480000,John R. Hicks,male,Europe,United Kingdom
1972,Economic Sciences,480000,Kenneth J. Arrow,male,North America,USA
1972,Physics,480000,Leon Neil Cooper,male,North America,USA
1972,Physics,480000,John Robert Schrieffer,male,North America,USA
1972,Physiology or Medicine,480000,Rodney R. Porter,male,Europe,United Kingdom
1972,Chemistry,480000,Stanford Moore,male,North America,USA
1972,Chemistry,480000,William H. Stein,male,North America,USA
1972,Physics,480000,John Bardeen,male,North America,USA
1973,Physics,510000,Brian David Josephson,male,Europe,United Kingdom
1973,Chemistry,510000,Ernst Otto Fischer,male,Europe,Germany
1973,Chemistry,510000,Geoffrey Wilkinson,male,Europe,United Kingdom
1973,Peace,510000,Henry Alfred Kissinger,male,Europe,Germany
1973,Physics,510000,Ivar Giaever,male,Europe,Norway
1973,Physiology or Medicine,510000,Karl von Frisch,male,Europe,Austria
1973,Physiology or Medicine,510000,Konrad Lorenz,male,Europe,Austria
1973,Peace,510000,Le Duc Tho ,male,Asia,Vietnam
1973,Physics,510000,Leo Esaki,male,Asia,Japan
1973,Physiology or Medicine,510000,Nikolaas Tinbergen,male,Europe,the Netherlands
1973,Literature,510000,Patrick White,male,Europe,United Kingdom
1973,Economic Sciences,510000,Wassily Wassilyevich Leontief,male,Europe,Russia
1974,Physiology or Medicine,550000,Albert Claude,male,Europe,Belgium
1974,Physics,550000,Antony Hewish,male,Europe,United Kingdom
1974,Physiology or Medicine,550000,Christian de Duve,male,Europe,United Kingdom
1974,Peace,550000,Eisaku Sato,male,Asia,Japan
1974,Literature,550000,Eyvind Johnson,male,Europe,Sweden
1974,Economic Sciences,550000,Friedrich August von Hayek,male,Europe,Austria
1974,Physiology or Medicine,550000,George E. Palade,male,Europe,Romania
1974,Economic Sciences,550000,Gunnar Myrdal,male,Europe,Sweden
1974,Literature,550000,Harry Martinson,male,Europe,Sweden
1974,Physics,550000,Sir Martin Ryle,male,Europe,United Kingdom
1974,Chemistry,550000,Paul J. Flory,male,North America,USA
1974,Peace,550000,Seán MacBride,male,Europe,France
1975,Physics,630000,Aage Niels Bohr,male,Europe,Denmark
1975,Peace,630000,Andrei Dmitrievich Sakharov,male,Europe,Russia
1975,Physics,630000,Ben Roy Mottelson,male,North America,USA
1975,Physiology or Medicine,630000,David Baltimore,male,North America,USA
1975,Literature,630000,Eugenio Montale,male,Europe,Italy
1975,Physiology or Medicine,630000,Howard Martin Temin,male,North America,USA
1975,Physics,630000,Leo James Rainwater,male,North America,USA
1975,Chemistry,630000,John Warcup Cornforth,male,Oceania,Australia
1975,Economic Sciences,630000,Leonid Vitaliyevich Kantorovich,male,Europe,Russian Empire
1975,Physiology or Medicine,630000,Renato Dulbecco,male,Europe,Italy
1975,Economic Sciences,630000,Tjalling C. Koopmans,male,Europe,the Netherlands
1975,Chemistry,630000,Vladimir Prelog,male,Europe,Austria-Hungary
1976,Physiology or Medicine,681000,Baruch S. Blumberg,male,North America,USA
1976,Peace,681000,Elizabeth Williams,female,Europe,Northern Ireland
1976,Physics,681000,Burton Richter,male,North America,USA
1976,Physiology or Medicine,681000,D. Carleton Gajdusek,male,North America,USA
1976,Peace,681000,Mairead Corrigan,female,Europe,Northern Ireland
1976,Economic Sciences,681000,Milton Friedman,male,North America,USA
1976,Physics,681000,Samuel Chao Chung Ting,male,North America,USA
1976,Literature,681000,Saul Bellow,male,North America,Canada
1976,Chemistry,681000,William N. Lipscomb,male,North America,USA
1977,Peace,700000,,,,
1977,Physiology or Medicine,700000,Andrew V. Schally,male,Europe,Poland
1977,Economic Sciences,700000,Bertil Ohlin,male,Europe,Sweden
1977,Chemistry,700000,Ilya Romanovich Prigogine,male,Europe,Russia
1977,Economic Sciences,700000,James E. Meade,male,Europe,United Kingdom
1977,Physics,700000,John Hasbrouck van Vleck,male,North America,USA
1977,Physics,700000,Philip Warren Anderson,male,North America,USA
1977,Physiology or Medicine,700000,Roger Guillemin,male,Europe,France
1977,Physiology or Medicine,700000,Rosalyn Yalow,female,North America,USA
1977,Physics,700000,Sir Nevill Francis Mott,male,Europe,United Kingdom
1977,Literature,700000,Vicente Aleixandre,male,Europe,Spain
1978,Peace,725000,Mohamed Anwar al-Sadat,male,Africa,Egypt
1978,Physics,725000,Arno Allan Penzias,male,Europe,Germany
1978,Physiology or Medicine,725000,Daniel Nathans,male,North America,USA
1978,Physiology or Medicine,725000,Hamilton O. Smith,male,North America,USA
1978,Economic Sciences,725000,Herbert A. Simon,male,North America,USA
1978,Literature,725000,Isaac Bashevis Singer,male,Europe,Russian Empire
1978,Peace,725000,Menachem Begin,male,Europe,Russian Empire
1978,Chemistry,725000,Peter D. Mitchell,male,Europe,United Kingdom
1978,Physics,725000,Pyotr Leonidovich Kapitsa,male,Europe,Russian Empire
1978,Physics,725000,Robert Woodrow Wilson,male,North America,USA
1978,Physiology or Medicine,725000,Werner Arber,male,Europe,Switzerland
1979,Physics,800000,Abdus Salam,male,Asia,India
1979,Physiology or Medicine,800000,Allan M. Cormack,male,Africa,South Africa
1979,Chemistry,800000,Georg Wittig,male,Europe,Germany
1979,Physiology or Medicine,800000,Godfrey N. Hounsfield,male,Europe,United Kingdom
1979,Chemistry,800000,Herbert C. Brown,male,Europe,United Kingdom
1979,Peace,800000,Mother Teresa ,female,Europe,Ottoman Empire
1979,Literature,800000,Odysseus Elytis,male,Europe,Crete
1979,Physics,800000,Sheldon Lee Glashow,male,North America,USA
1979,Economic Sciences,800000,Sir Arthur Lewis,male,North America,British West Indies
1979,Physics,800000,Steven Weinberg,male,North America,USA
1979,Economic Sciences,800000,Theodore W. Schultz,male,North America,USA
1980,Peace,880000,Adolfo Pérez Esquivel,male,South America,Argentina
1980,Physiology or Medicine,880000,Baruj Benacerraf,male,South America,Venezuela
1980,Literature,880000,Czeslaw Milosz,male,Europe,Russian Empire
1980,Physiology or Medicine,880000,George D. Snell,male,North America,USA
1980,Physics,880000,James Watson Cronin,male,North America,USA
1980,Physiology or Medicine,880000,Jean Dausset,male,Europe,France
1980,Economic Sciences,880000,Lawrence R. Klein,male,North America,USA
1980,Chemistry,880000,Paul Berg,male,North America,USA
1980,Physics,880000,Val Logsdon Fitch,male,North America,USA
1980,Chemistry,880000,Walter Gilbert,male,North America,USA
1980,Chemistry,880000,Frederick Sanger,male,Europe,United Kingdom
1981,Physics,1000000,Arthur Leonard Schawlow,male,North America,USA
1981,Physiology or Medicine,1000000,David H. Hubel,male,North America,Canada
1981,Literature,1000000,Elias Canetti,male,Europe,Bulgaria
1981,Economic Sciences,1000000,James Tobin,male,North America,USA
1981,Physics,1000000,Kai M. Siegbahn,male,Europe,Sweden
1981,Chemistry,1000000,Kenichi Fukui,male,Asia,Japan
1981,Physics,1000000,Nicolaas Bloembergen,male,Europe,the Netherlands
1981,Chemistry,1000000,Roald Hoffmann,male,Europe,Poland
1981,Physiology or Medicine,1000000,Roger W. Sperry,male,North America,USA
1981,Physiology or Medicine,1000000,Torsten N. Wiesel,male,Europe,Sweden
1981,Peace,1000000,,,,
1982,Chemistry,1150000,Aaron Klug,male,Europe,Lithuania
1982,Peace,1150000,Alfonso García Robles,male,North America,Mexico
1982,Peace,1150000,Alva Myrdal,female,Europe,Sweden
1982,Physiology or Medicine,1150000,Bengt I. Samuelsson,male,Europe,Sweden
1982,Literature,1150000,Gabriel García Márquez,male,South America,Colombia
1982,Economic Sciences,1150000,George J. Stigler,male,North America,USA
1982,Physiology or Medicine,1150000,John R. Vane,male,Europe,United Kingdom
1982,Physics,1150000,Kenneth G. Wilson,male,North America,USA
1982,Physiology or Medicine,1150000,Sune K. Bergström,male,Europe,Sweden
1983,Physiology or Medicine,1500000,Barbara McClintock,female,North America,USA
1983,Economic Sciences,1500000,Gerard Debreu,male,Europe,France
1983,Chemistry,1500000,Henry Taube,male,North America,Canada
1983,Peace,1500000,Lech Walesa,male,Europe,Poland
1983,Physics,1500000,Subramanyan Chandrasekhar,male,Asia,India
1983,Physics,1500000,William Alfred Fowler,male,North America,USA
1983,Literature,1500000,William Golding,male,Europe,United Kingdom
1984,Chemistry,1650000,Robert Bruce Merrifield,male,North America,USA
1984,Physics,1650000,Carlo Rubbia,male,Europe,Italy
1984,Physiology or Medicine,1650000,César Milstein,male,South America,Argentina
1984,Peace,1650000,Desmond Mpilo Tutu,male,Africa,South Africa
1984,Physiology or Medicine,1650000,Georges J.F. Köhler,male,Europe,Germany
1984,Literature,1650000,Jaroslav Seifert,male,Europe,Austria-Hungary
1984,Physiology or Medicine,1650000,Niels K. Jerne,male,Europe,United Kingdom
1984,Economic Sciences,1650000,Richard Stone,male,Europe,United Kingdom
1984,Physics,1650000,Simon van der Meer,male,Europe,the Netherlands
1985,Literature,1800000,Claude Simon,male,Africa,Madagascar
1985,Economic Sciences,1800000,Franco Modigliani,male,Europe,Italy
1985,Chemistry,1800000,Herbert A. Hauptman,male,North America,USA
1985,Peace,1800000,,,,
1985,Chemistry,1800000,Jerome Karle,male,North America,USA
1985,Physiology or Medicine,1800000,Joseph L. Goldstein,male,North America,USA
1985,Physics,1800000,Klaus von Klitzing,male,Europe,German-occupied Poland
1985,Physiology or Medicine,1800000,Michael S. Brown,male,North America,USA
1986,Chemistry,2000000,Dudley R. Herschbach,male,North America,USA
1986,Peace,2000000,Elie Wiesel,male,Europe,Romania
1986,Physics,2000000,Ernst Ruska,male,Europe,Germany
1986,Physics,2000000,Gerd Binnig,male,Europe,West Germany
1986,Physics,2000000,Heinrich Rohrer,male,Europe,Switzerland
1986,Economic Sciences,2000000,James M. Buchanan Jr.,male,North America,USA
1986,Chemistry,2000000,John C. Polanyi,male,Europe,Germany
1986,Physiology or Medicine,2000000,Rita Levi-Montalcini,female,Europe,Italy
1986,Physiology or Medicine,2000000,Stanley Cohen,male,North America,USA
1986,Literature,2000000,Wole Soyinka,male,Africa,Nigeria
1986,Chemistry,2000000,Yuan T. Lee,male,Asia,Taiwan
1987,Chemistry,2175000,Charles J. Pedersen,male,Asia,Korea
1987,Chemistry,2175000,Donald J. Cram,male,North America,USA
1987,Physics,2175000,J. Georg Bednorz,male,Europe,West Germany
1987,Chemistry,2175000,Jean-Marie Lehn,male,Europe,France
1987,Literature,2175000,Joseph Brodsky,male,Europe,USSR
1987,Physics,2175000,K. Alexander Müller,male,Europe,Switzerland
1987,Peace,2175000,Oscar Arias Sánchez,male,North America,Costa Rica
1987,Economic Sciences,2175000,Robert M. Solow,male,North America,USA
1987,Physiology or Medicine,2175000,Susumu Tonegawa,male,Asia,Japan
1988,Physiology or Medicine,2500000,George H. Hitchings,male,North America,USA
1988,Physiology or Medicine,2500000,Gertrude B. Elion,female,North America,USA
1988,Chemistry,2500000,Hartmut Michel,male,Europe,West Germany
1988,Physics,2500000,Jack Steinberger,male,Europe,Germany
1988,Chemistry,2500000,Johann Deisenhofer,male,Europe,Germany
1988,Physics,2500000,Leon M. Lederman,male,North America,USA
1988,Economic Sciences,2500000,Maurice Allais,male,Europe,France
1988,Physics,2500000,Melvin Schwartz,male,North America,USA
1988,Literature,2500000,Naguib Mahfouz,male,Africa,Egypt
1988,Chemistry,2500000,Robert Huber,male,Europe,Germany
1988,Physiology or Medicine,2500000,Sir James W. Black,male,Europe,Scotland
1988,Peace,2500000,,,,
1989,Literature,3000000,Camilo José Cela,male,Europe,Spain
1989,Physics,3000000,Hans G. Dehmelt,male,Europe,Prussia
1989,Physiology or Medicine,3000000,Harold E. Varmus,male,North America,USA
1989,Physiology or Medicine,3000000,J. Michael Bishop,male,North America,USA
1989,Physics,3000000,Norman F. Ramsey,male,North America,USA
1989,Chemistry,3000000,Sidney Altman,male,North America,Canada
1989,Peace,3000000,The 14th Dalai Lama (Tenzin Gyatso),male,Asia,Tibet
1989,Chemistry,3000000,Thomas R. Cech,male,North America,USA
1989,Economic Sciences,3000000,Trygve Haavelmo,male,Europe,Norway
1989,Physics,3000000,Wolfgang Paul,male,Europe,Germany
1990,Physiology or Medicine,4000000,E. Donnall Thomas,male,North America,USA
1990,Chemistry,4000000,Elias James Corey,male,North America,USA
1990,Economic Sciences,4000000,Harry M. Markowitz,male,North America,USA
1990,Physics,4000000,Henry W. Kendall,male,North America,USA
1990,Physics,4000000,Jerome I. Friedman,male,North America,USA
1990,Physiology or Medicine,4000000,Joseph E. Murray,male,North America,USA
1990,Economic Sciences,4000000,Merton H. Miller,male,North America,USA
1990,Peace,4000000,Mikhail Sergeyevich Gorbachev,male,Europe,USSR
1990,Literature,4000000,Octavio Paz,male,North America,Mexico
1990,Physics,4000000,Richard E. Taylor,male,North America,Canada
1990,Economic Sciences,4000000,William F. Sharpe,male,North America,USA
1991,Peace,6000000,Aung San Suu Kyi ,female,Asia,Burma
1991,Physiology or Medicine,6000000,Bert Sakmann,male,Europe,Germany
1991,Physiology or Medicine,6000000,Erwin Neher,male,Europe,Germany
1991,Literature,6000000,Nadine Gordimer,female,Africa,South Africa
1991,Physics,6000000,Pierre-Gilles de Gennes,male,Europe,France
1991,Chemistry,6000000,Richard R. Ernst,male,Europe,Switzerland
1991,Economic Sciences,6000000,Ronald H. Coase,male,Europe,United Kingdom
1992,Literature,6500000,Derek Walcott,male,North America,Saint Lucia
1992,Physiology or Medicine,6500000,Edmond H. Fischer,male,Asia,China
1992,Physiology or Medicine,6500000,Edwin G. Krebs,male,North America,USA
1992,Economic Sciences,6500000,Gary S. Becker,male,North America,USA
1992,Physics,6500000,Georges Charpak,male,Europe,Poland
1992,Peace,6500000,Rigoberta Menchú Tum,female,North America,Guatemala
1992,Chemistry,6500000,Rudolph A. Marcus,male,North America,Canada
1993,Economic Sciences,6700000,Douglass C. North,male,North America,USA
1993,Peace,6700000,Frederik Willem de Klerk,male,Africa,South Africa
1993,Physics,6700000,Joseph H. Taylor Jr.,male,North America,USA
1993,Chemistry,6700000,Kary B. Mullis,male,North America,USA
1993,Chemistry,6700000,Michael Smith,male,Europe,United Kingdom
1993,Peace,6700000,Nelson Rolihlahla Mandela,male,Africa,South Africa
1993,Physiology or Medicine,6700000,Phillip A. Sharp,male,North America,USA
1993,Physiology or Medicine,6700000,Richard J. Roberts,male,Europe,United Kingdom
1993,Economic Sciences,6700000,Robert W. Fogel,male,North America,USA
1993,Physics,6700000,Russell A. Hulse,male,North America,USA
1993,Literature,6700000,Toni Morrison,female,North America,USA
1994,Physiology or Medicine,7000000,Alfred G. Gilman,male,North America,USA
1994,Physics,7000000,Bertram N. Brockhouse,male,North America,Canada
1994,Physics,7000000,Clifford G. Shull,male,North America,USA
1994,Chemistry,7000000,George A. Olah,male,Europe,Hungary
1994,Economic Sciences,7000000,John C. Harsanyi,male,Europe,Hungary
1994,Economic Sciences,7000000,John F. Nash Jr.,male,North America,USA
1994,Literature,7000000,Kenzaburo Oe,male,Asia,Japan
1994,Physiology or Medicine,7000000,Martin Rodbell,male,North America,USA
1994,Economic Sciences,7000000,Reinhard Selten,male,Europe,Germany
1994,Peace,7000000,Shimon Peres,male,Europe,Poland
1994,Peace,7000000,Yasser Arafat,male,Africa,Egypt
1994,Peace,7000000,Yitzhak Rabin,male,Asia,British Mandate of Palestine
1995,Physiology or Medicine,7200000,Christiane Nüsslein-Volhard,female,Europe,Germany
1995,Physiology or Medicine,7200000,Edward B. Lewis,male,North America,USA
1995,Physiology or Medicine,7200000,Eric F. Wieschaus,male,North America,USA
1995,Chemistry,7200000,F. Sherwood Rowland,male,North America,USA
1995,Physics,7200000,Frederick Reines,male,North America,USA
1995,Peace,7200000,Joseph Rotblat,male,Europe,Russian Empire
1995,Chemistry,7200000,Mario J. Molina,male,North America,Mexico
1995,Physics,7200000,Martin L. Perl,male,North America,USA
1995,Chemistry,7200000,Paul J. Crutzen,male,Europe,the Netherlands
1995,Peace,7200000,,,,
1995,Economic Sciences,7200000,Robert E. Lucas Jr.,male,North America,USA
1995,Literature,7200000,Seamus Heaney,male,Europe,Northern Ireland
1996,Peace,7400000,Carlos Filipe Ximenes Belo,male,Oceania,East Timor
1996,Physics,7400000,David M. Lee,male,North America,USA
1996,Physics,7400000,Douglas D. Osheroff,male,North America,USA
1996,Economic Sciences,7400000,James A. Mirrlees,male,Europe,Scotland
1996,Peace,7400000,José Ramos-Horta,male,Oceania,East Timor
1996,Physiology or Medicine,7400000,Peter C. Doherty,male,Oceania,Australia
1996,Chemistry,7400000,Richard E. Smalley,male,North America,USA
1996,Physics,7400000,Robert C. Richardson,male,North America,USA
1996,Chemistry,7400000,Robert F. Curl Jr.,male,North America,USA
1996,Physiology or Medicine,7400000,Rolf M. Zinkernagel,male,Europe,Switzerland
1996,Chemistry,7400000,Sir Harold W. Kroto,male,Europe,United Kingdom
1996,Economic Sciences,7400000,William Vickrey,male,North America,Canada
1996,Literature,7400000,Wislawa Szymborska,female,Europe,Poland
1997,Physics,7500000,Claude Cohen-Tannoudji,male,Africa,French Algeria
1997,Literature,7500000,Dario Fo,male,Europe,Italy
1997,Peace,7500000,,,,
1997,Chemistry,7500000,Jens C. Skou,male,Europe,Denmark
1997,Peace,7500000,Jody Williams,female,North America,USA
1997,Chemistry,7500000,John E. Walker,male,Europe,United Kingdom
1997,Economic Sciences,7500000,Myron S. Scholes,male,North America,Canada
1997,Chemistry,7500000,Paul D. Boyer,male,North America,USA
1997,Economic Sciences,7500000,Robert C. Merton,male,North America,USA
1997,Physiology or Medicine,7500000,Stanley B. Prusiner,male,North America,USA
1997,Physics,7500000,Steven Chu,male,North America,USA
1997,Physics,7500000,William D. Phillips,male,North America,USA
1998,Economic Sciences,7600000,Amartya Sen,male,Asia,India
1998,Physics,7600000,Daniel C. Tsui,male,Asia,China
1998,Peace,7600000,David Trimble,male,Europe,Northern Ireland
1998,Physiology or Medicine,7600000,Ferid Murad,male,North America,USA
1998,Physics,7600000,Horst L. Störmer,male,Europe,West Germany
1998,Peace,7600000,John Hume,male,Europe,Northern Ireland
1998,Chemistry,7600000,John A. Pople,male,Europe,United Kingdom
1998,Literature,7600000,José Saramago,male,Europe,Portugal
1998,Physiology or Medicine,7600000,Louis J. Ignarro,male,North America,USA
1998,Physics,7600000,Robert B. Laughlin,male,North America,USA
1998,Physiology or Medicine,7600000,Robert F. Furchgott,male,North America,USA
1998,Chemistry,7600000,Walter Kohn,male,Europe,Austria
1999,Chemistry,7900000,Ahmed H. Zewail,male,Africa,Egypt
1999,Physics,7900000,Gerardus 't Hooft,male,Europe,the Netherlands
1999,Physiology or Medicine,7900000,Günter Blobel,male,Europe,Germany
1999,Literature,7900000,Günter Grass,male,Europe,Free City of Danzig
1999,Physics,7900000,Martinus J.G. Veltman,male,Europe,the Netherlands
1999,Peace,7900000,,,,
1999,Economic Sciences,7900000,Robert A. Mundell,male,North America,Canada
2000,Chemistry,9000000,Alan J. Heeger,male,North America,USA
2000,Chemistry,9000000,Alan G. MacDiarmid,male,Oceania,New Zealand
2000,Physiology or Medicine,9000000,Arvid Carlsson,male,Europe,Sweden
2000,Economic Sciences,9000000,Daniel L. McFadden,male,North America,USA
2000,Physiology or Medicine,9000000,Eric R. Kandel,male,Europe,Austria
2000,Literature,9000000,Gao Xingjian,male,Asia,China
2000,Physics,9000000,Herbert Kroemer,male,Europe,Germany
2000,Chemistry,9000000,Hideki Shirakawa,male,Asia,Japan
2000,Physics,9000000,Jack S. Kilby,male,North America,USA
2000,Economic Sciences,9000000,James J. Heckman,male,North America,USA
2000,Peace,9000000,Kim Dae-jung,male,Asia,Korea
2000,Physiology or Medicine,9000000,Paul Greengard,male,North America,USA
2000,Physics,9000000,Zhores I. Alferov,male,Europe,USSR
2001,Economic Sciences,10000000,A. Michael Spence,male,North America,USA
2001,Chemistry,10000000,K. Barry Sharpless,male,North America,USA
2001,Physics,10000000,Carl E. Wieman,male,North America,USA
2001,Physics,10000000,Eric A. Cornell,male,North America,USA
2001,Economic Sciences,10000000,George A. Akerlof,male,North America,USA
2001,Economic Sciences,10000000,Joseph E. Stiglitz,male,North America,USA
2001,Peace,10000000,Kofi Atta Annan,male,Africa,Gold Coast
2001,Physiology or Medicine,10000000,Leland H. Hartwell,male,North America,USA
2001,Chemistry,10000000,Ryoji Noyori,male,Asia,Japan
2001,Physiology or Medicine,10000000,Sir Paul M. Nurse,male,Europe,United Kingdom
2001,Physiology or Medicine,10000000,Tim Hunt,male,Europe,United Kingdom
2001,Peace,10000000,,,,
2001,Literature,10000000,Sir Vidiadhar Surajprasad Naipaul,male,North America,Trinidad and Tobago
2001,Chemistry,10000000,William S. Knowles,male,North America,USA
2001,Physics,10000000,Wolfgang Ketterle,male,Europe,West Germany
2002,Economic Sciences,10000000,Daniel Kahneman,male,Asia,British Mandate of Palestine
2002,Physiology or Medicine,10000000,H. Robert Horvitz,male,North America,USA
2002,Literature,10000000,Imre Kertész,male,Europe,Hungary
2002,Peace,10000000,James Earl Carter,male,North America,USA
2002,Chemistry,10000000,John B. Fenn,male,North America,USA
2002,Physiology or Medicine,10000000,John E. Sulston,male,Europe,United Kingdom
2002,Chemistry,10000000,Koichi Tanaka,male,Asia,Japan
2002,Chemistry,10000000,Kurt Wüthrich,male,Europe,Switzerland
2002,Physics,10000000,Masatoshi Koshiba,male,Asia,Japan
2002,Physics,10000000,Raymond Davis Jr.,male,North America,USA
2002,Physics,10000000,Riccardo Giacconi,male,Europe,Italy
2002,Physiology or Medicine,10000000,Sydney Brenner,male,Africa,South Africa
2002,Economic Sciences,10000000,Vernon L. Smith,male,North America,USA
2003,Physics,10000000,Alexei Alexeyevich Abrikosov,male,Europe,USSR
2003,Physics,10000000,Anthony J. Leggett,male,Europe,United Kingdom
2003,Economic Sciences,10000000,Clive W.J. Granger,male,Europe,United Kingdom
2003,Literature,10000000,John M. Coetzee,male,Africa,South Africa
2003,Physiology or Medicine,10000000,Paul C. Lauterbur,male,North America,USA
2003,Chemistry,10000000,Peter Agre,male,North America,USA
2003,Economic Sciences,10000000,Robert F. Engle III,male,North America,USA
2003,Chemistry,10000000,Roderick MacKinnon,male,North America,USA
2003,Peace,10000000,Shirin Ebadi,female,Asia,Iran
2003,Physiology or Medicine,10000000,Sir Peter Mansfield,male,Europe,United Kingdom
2003,Physics,10000000,Vitaly Lazarevich Ginzburg,male,Europe,Russia
2004,Chemistry,10000000,Aaron Ciechanover,male,Asia,British Protectorate of Palestine
2004,Chemistry,10000000,Avram Hershko,male,Europe,Hungary
2004,Physics,10000000,David J. Gross,male,North America,USA
2004,Economic Sciences,10000000,Edward C. Prescott,male,North America,USA
2004,Literature,10000000,Elfriede Jelinek,female,Europe,Austria
2004,Economic Sciences,10000000,Finn E. Kydland,male,Europe,Norway
2004,Physics,10000000,Frank Wilczek,male,North America,USA
2004,Physics,10000000,H. David Politzer,male,North America,USA
2004,Chemistry,10000000,Irwin Rose,male,North America,USA
2004,Physiology or Medicine,10000000,Linda B. Buck,female,North America,USA
2004,Physiology or Medicine,10000000,Richard Axel,male,North America,USA
2004,Peace,10000000,Wangari Muta Maathai,female,Africa,Kenya
2005,Physiology or Medicine,10000000,Barry J. Marshall,male,Oceania,Australia
2005,Literature,10000000,Harold Pinter,male,Europe,United Kingdom
2005,Peace,10000000,,,,
2005,Physiology or Medicine,10000000,J. Robin Warren,male,Oceania,Australia
2005,Physics,10000000,John L. Hall,male,North America,USA
2005,Peace,10000000,Mohamed ElBaradei,male,Africa,Egypt
2005,Chemistry,10000000,Richard R. Schrock,male,North America,USA
2005,Chemistry,10000000,Robert H. Grubbs,male,North America,USA
2005,Economic Sciences,10000000,Robert J. Aumann,male,Europe,Germany
2005,Physics,10000000,Roy J. Glauber,male,North America,USA
2005,Physics,10000000,Theodor W. Hänsch,male,Europe,Germany
2005,Economic Sciences,10000000,Thomas C. Schelling,male,North America,USA
2005,Chemistry,10000000,Yves Chauvin,male,Europe,Belgium
2006,Physiology or Medicine,10000000,Andrew Z. Fire,male,North America,USA
2006,Physiology or Medicine,10000000,Craig C. Mello,male,North America,USA
2006,Economic Sciences,10000000,Edmund S. Phelps,male,North America,USA
2006,Physics,10000000,George F. Smoot,male,North America,USA
2006,Peace,10000000,,,,
2006,Physics,10000000,John C. Mather,male,North America,USA
2006,Peace,10000000,Muhammad Yunus,male,Asia,British India
2006,Literature,10000000,Orhan Pamuk,male,Asia,Turkey
2006,Chemistry,10000000,Roger D. Kornberg,male,North America,USA
2007,Peace,10000000,Albert Arnold (Al) Gore Jr.,male,North America,USA
2007,Physics,10000000,Albert Fert,male,Europe,France
2007,Literature,10000000,Doris Lessing,female,Asia,Persia
2007,Economic Sciences,10000000,Eric S. Maskin,male,North America,USA
2007,Chemistry,10000000,Gerhard Ertl,male,Europe,Germany
2007,Peace,10000000,,,,
2007,Economic Sciences,10000000,Leonid Hurwicz,male,Europe,Russia
2007,Physiology or Medicine,10000000,Mario R. Capecchi,male,Europe,Italy
2007,Physiology or Medicine,10000000,Oliver Smithies,male,Europe,United Kingdom
2007,Physics,10000000,Peter Grünberg,male,Europe,Czechoslovakia
2007,Economic Sciences,10000000,Roger B. Myerson,male,North America,USA
2007,Physiology or Medicine,10000000,Sir Martin J. Evans,male,Europe,United Kingdom
2008,Physiology or Medicine,10000000,Françoise Barré-Sinoussi,female,Europe,France
2008,Physiology or Medicine,10000000,Harald zur Hausen,male,Europe,Germany
2008,Literature,10000000,Jean-Marie Gustave Le Clézio,male,Europe,France
2008,Physiology or Medicine,10000000,Luc Montagnier,male,Europe,France
2008,Physics,10000000,Makoto Kobayashi,male,Asia,Japan
2008,Chemistry,10000000,Martin Chalfie,male,North America,USA
2008,Peace,10000000,Martti Ahtisaari,male,Europe,Finland
2008,Chemistry,10000000,Osamu Shimomura,male,Asia,Japan
2008,Economic Sciences,10000000,Paul Krugman,male,North America,USA
2008,Chemistry,10000000,Roger Y. Tsien,male,North America,USA
2008,Physics,10000000,Toshihide Maskawa,male,Asia,Japan
2008,Physics,10000000,Yoichiro Nambu,male,Asia,Japan
2009,Chemistry,10000000,Ada E. Yonath,female,Asia,British Mandate of Palestine
2009,Peace,10000000,Barack Hussein Obama,male,North America,USA
2009,Physiology or Medicine,10000000,Carol W. Greider,female,North America,USA
2009,Physics,10000000,Charles Kuen Kao,male,Asia,China
2009,Economic Sciences,10000000,Elinor Ostrom,female,North America,USA
2009,Physiology or Medicine,10000000,Elizabeth H. Blackburn,female,Oceania,Australia
2009,Physics,10000000,George E. Smith,male,North America,USA
2009,Literature,10000000,Herta Müller,female,Europe,Romania
2009,Physiology or Medicine,10000000,Jack W. Szostak,male,Europe,United Kingdom
2009,Economic Sciences,10000000,Oliver E. Williamson,male,North America,USA
2009,Chemistry,10000000,Thomas A. Steitz,male,North America,USA
2009,Chemistry,10000000,Venkatraman Ramakrishnan,male,Asia,India
2009,Physics,10000000,Willard S. Boyle,male,North America,Canada
2010,Chemistry,10000000,Akira Suzuki,male,Asia,Japan
2010,Physics,10000000,Andre Geim,male,Europe,Russia
2010,Economic Sciences,10000000,Christopher A. Pissarides,male,Europe,Cyprus
2010,Economic Sciences,10000000,Dale T. Mortensen,male,North America,USA
2010,Chemistry,10000000,Ei-ichi Negishi,male,Asia,China
2010,Physics,10000000,Konstantin Novoselov,male,Europe,Russia
2010,Peace,10000000,Liu Xiaobo,male,Asia,China
